
  ///////////////////////////////////////////////////////////////////////////
  | 公司名称:                                                               |
  |                                                                         |
  |                           SATWE 位移输出文件                            |
  |                          SATWE2010_V5.1.3 中文版                        |
  |                         (2020年5月18日18时13分)                         |
  |                            文件名: WDISP.OUT                            |
  |                                                                         |
  |工程名称 :                     设计人 :              计算日期:2020/10/19 |
  |工程代号 :                     校核人 :              计算时间:11:03:27   |
  ///////////////////////////////////////////////////////////////////////////


  所有位移的单位为毫米

  Floor   : 层号
  Tower   : 塔号
  Jmax    : 最大位移对应的节点号
  JmaxD   : 最大层间位移对应的节点号
  Max-(Z) : 节点的最大竖向位移
  h       : 层高
  Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
  Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
  Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
  Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
  Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
  Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
  Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
  DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
  Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
  X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移


  === 工况  1 === X 方向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  4352       0.94        0.91       1/3095.     0.2%       0.85
   12      1      4017       8.12        7.92         2900.
                  4017       0.94        0.92       1/3086.     0.5%       0.84
   11      1      3687       7.22        7.04         2900.
                  3687       0.94        0.91       1/3101.     1.4%       0.83
   10      1      3352       6.32        6.16         2900.
                  3352       0.92        0.90       1/3145.     2.2%       0.82
    9      1      3022       5.42        5.29         2900.
                  3022       0.90        0.88       1/3216.     3.4%       0.81
    8      1      2687       4.54        4.43         2900.
                  2687       0.87        0.85       1/3329.     5.1%       0.79
    7      1      2357       3.68        3.60         2900.
                  2357       0.83        0.81       1/3509.     7.3%       0.77
    6      1      2022       2.87        2.80         2900.
                  2022       0.77        0.75       1/3783.    10.8%       0.74
    5      1      1692       2.11        2.06         2900.
                  1692       0.68        0.67       1/4243.    17.3%       0.69
    4      1      1357       1.43        1.39         2900.
                  1357       0.57        0.55       1/5124.    25.2%       0.64
    3      1      1041       0.86        0.84         3000.
                  1041       0.44        0.43       1/6848.    30.3%       0.58
    2      1       728       0.42        0.42         3000.
                   728       0.30        0.30       1/9863.    61.2%       0.54
    1      1       420       0.12        0.12         3100.
                   420       0.12        0.12       1/9999.    99.9%       0.30
 
   Y方向最大层间位移角:               1/3086.(第 12层第 1塔)

  === 工况  6 === Y 双向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy    Max-Dy/h      DyR/Dy    Ratio_AY
   21      1      6926      15.48       15.21         3300.
                  6926       0.86        0.85       1/3856.     4.6%       1.00
   20      1      6674      15.09       14.62         2900.
                  6674       0.81        0.79       1/3570.     3.9%       0.81
   19      1      6347      14.33       13.89         2900.
                  6347       0.84        0.82       1/3436.     3.7%       0.89
   18      1      6012      13.55       13.14         2900.
                  6012       0.88        0.85       1/3312.     3.2%       0.90
   17      1      5682      12.75       12.36         2900.
                  5682       0.90        0.88       1/3208.     2.6%       0.89
   16      1      5347      11.91       11.55         2900.
                  5347       0.93        0.90       1/3124.     2.0%       0.88
   15      1      5017      11.05       10.72         2900.
                  5017       0.95        0.92       1/3061.     1.4%       0.87
   14      1      4682      10.16        9.86         2900.
                  4682       0.96        0.93       1/3017.     0.8%       0.86
   13      1      4352       9.26        8.99         2900.
                  4352       0.97        0.94       1/2992.     0.2%       0.85
   12      1      4017       8.34        8.10         2900.
                  4017       0.97        0.94       1/2986.     0.5%       0.84
   11      1      3687       7.41        7.20         2900.
                  3687       0.97        0.93       1/3003.     1.4%       0.83
   10      1      3352       6.48        6.30         2900.
                  3352       0.95        0.92       1/3049.     2.2%       0.82
    9      1      3022       5.55        5.40         2900.
                  3022       0.93        0.90       1/3122.     3.4%       0.81
    8      1      2687       4.65        4.52         2900.
                  2687       0.90        0.87       1/3238.     5.1%       0.79
    7      1      2357       3.77        3.67         2900.
                  2357       0.85        0.82       1/3419.     7.2%       0.77
    6      1      2022       2.93        2.85         2900.
                  2022       0.79        0.76       1/3693.    10.7%       0.74
    5      1      1692       2.15        2.10         2900.
                  1692       0.70        0.68       1/4148.    17.1%       0.69
    4      1      1357       1.46        1.42         2900.
                  1357       0.58        0.56       1/5019.    24.9%       0.64
    3      1      1041       0.88        0.86         3000.
                  1041       0.45        0.43       1/6718.    29.8%       0.57
    2      1       728       0.43        0.42         3000.
                   728       0.31        0.30       1/9669.    60.0%       0.54
    1      1       420       0.13        0.12         3100.
                   420       0.13        0.12       1/9999.    98.1%       0.30
 
   Y方向最大层间位移角:               1/2986.(第 12层第 1塔)

  === 工况  7 === Y+ 偶然偏心地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy    Max-Dy/h      DyR/Dy    Ratio_AY
   21      1      6926      16.82       15.02         3300.
                  6926       0.91        0.83       1/3636.     4.0%       1.00
   20      1      6674      16.95       14.26         2900.
                  6674       0.89        0.76       1/3274.     4.0%       0.80
   19      1      6347      16.14       13.55         2900.
                  6347       0.93        0.79       1/3127.     3.7%       0.88
   18      1      6012      15.29       12.82         2900.
                  6012       0.97        0.82       1/2998.     3.4%       0.90
   17      1      5682      14.40       12.06         2900.
                  5682       1.00        0.85       1/2890.     2.6%       0.89
   16      1      5347      13.48       11.28         2900.
                  5347       1.03        0.88       1/2805.     2.2%       0.89
   15      1      5017      12.53       10.47         2900.
                  5017       1.06        0.89       1/2741.     1.4%       0.88
   14      1      4682      11.55        9.64         2900.
                  4682       1.08        0.91       1/2694.     1.0%       0.86
   13      1      4352      10.54        8.78         2900.
                  4352       1.09        0.92       1/2665.     0.1%       0.86
   12      1      4017       9.51        7.92         2900.
                  4017       1.09        0.92       1/2654.     0.4%       0.84
   11      1      3687       8.47        7.04         2900.
                  3687       1.09        0.91       1/2662.     1.5%       0.83
   10      1      3352       7.42        6.17         2900.
                  3352       1.08        0.90       1/2696.     2.1%       0.82
    9      1      3022       6.38        5.29         2900.
                  3022       1.05        0.88       1/2751.     3.5%       0.81
    8      1      2687       5.35        4.43         2900.
                  2687       1.02        0.85       1/2841.     5.0%       0.79
    7      1      2357       4.35        3.60         2900.
                  2357       0.97        0.81       1/2986.     7.4%       0.77
    6      1      2022       3.39        2.80         2900.
                  2022       0.90        0.75       1/3207.    10.7%       0.74
    5      1      1692       2.50        2.06         2900.
                  1692       0.81        0.67       1/3581.    17.4%       0.69
    4      1      1357       1.69        1.39         2900.
                  1357       0.67        0.55       1/4314.    25.1%       0.64
    3      1      1041       1.02        0.84         3000.
                  1041       0.52        0.43       1/5768.    30.3%       0.58
    2      1       728       0.50        0.42         3000.
                   728       0.36        0.30       1/8301.    61.2%       0.54
    1      1       420       0.14        0.12         3100.
                   420       0.14        0.12       1/9999.    99.8%       0.30
 
   Y方向最大层间位移角:               1/2654.(第 12层第 1塔)

  === 工况  8 === Y- 偶然偏心地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy    Max-Dy/h      DyR/Dy    Ratio_AY
   21      1      6917      16.35       15.01         3300.
                  6917       0.90        0.83       1/3660.     4.1%       1.00
   20      1      6657      16.25       14.24         2900.
                  6657       0.86        0.76       1/3358.     3.9%       0.80
   19      1      6330      15.45       13.54         2900.
                  6330       0.90        0.79       1/3227.     3.9%       0.88
   18      1      5995      14.63       12.81         2900.
                  5995       0.93        0.82       1/3103.     3.2%       0.90
   17      1      5665      13.78       12.05         2900.
                  5665       0.97        0.85       1/2999.     2.8%       0.89
   16      1      5330      12.90       11.27         2900.
                  5330       0.99        0.87       1/2916.     2.0%       0.89
   15      1      5000      11.99       10.46         2900.
