     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   48     1    48000057    158.11   149.66         4500
               48000064      3.75     3.48       1/1198      2.80%    0.89
   47     1    47000070    154.63   146.38         4500
               47000070      3.86     3.57       1/1165      2.22%    0.89
   46     1    46000064    151.05   143.02         4500
               46000057      3.95     3.66       1/1138      1.32%    0.88
   45     1    45000082    147.37   139.57         5100
               45000072      4.52     4.19       1/1128      1.03%    0.86
   44     1    44000074    143.14   135.60         4500
               44000084      4.01     3.73       1/1123      0.33%    0.86
   43     1    43000067    139.37   132.06         4500
               43000060      4.03     3.75       1/1116      1.91%    0.85
   42     1    42000071    135.56   128.49         4500
               42000064      4.11     3.82       1/1095      0.94%    0.85
   41     1    41000060    131.67   124.84         4500
               41000067      4.14     3.86       1/1087      1.44%    0.85
   40     1    40000073    127.74   121.15         4500
               40000083      4.19     3.91       1/1075      1.14%    0.86
   39     1    39000070    123.76   117.41         4500
               39000063      4.23     3.96       1/1063      0.80%    0.85
   38     1    38000073    119.72   113.62         4500
               38000073      4.26     3.99       1/1056      0.23%    0.85
   37     1    37000070    115.65   109.79         4500
               37000063      4.27     4.00       1/1053      0.78%    0.84
   36     1    36000072    111.56   105.94         5100
               36000081      4.88     4.57       1/1044      0.74%    0.84
   35     1    35000083    106.87   101.53         4500
               35000073      4.32     4.05       1/1041      0.34%    0.84
   34     1    34000019    102.71    97.62         4500
               34000136      4.35     4.08       1/1034      0.14%    0.84
   33     1    33000072     98.52    93.68         4500
               33000072      4.36     4.08       1/1032      0.46%    0.84
   32     1    32000142     94.32    89.74         4500
               32000142      4.35     4.06       1/1035      0.80%    0.83
   31     1    31000082     90.12    85.80         4500
               31000072      4.31     4.03       1/1043      1.62%    0.82
   30     1    30000142     85.95    81.89         4500
               30000021      4.25     3.96       1/1059      2.86%    0.81
   29     1    29000073     81.84    78.04         4500
               29000073      4.13     3.85       1/1090      0.97%    0.80
   28     1    28000015     77.83    74.29         4500
               28000128      4.09     3.81       1/1101      0.80%    0.80
   27     1    27000073     73.86    70.58         4500
               27000073      4.05     3.78       1/1110      0.84%    0.81
   26     1    26000128     69.92    66.89         4500
               26000015      4.02     3.75       1/1120      0.82%    0.82
   25     1    25000073     66.01    63.22         4500
               25000083      3.98     3.72       1/1132      1.03%    0.82
   24     1    24000015     62.13    59.58         4500
               24000015      3.92     3.68       1/1147      0.12%    0.82
   23     1    23000075     58.30    55.98         5100
               23000083      4.42     4.17       1/1153      1.95%    0.82
   22     1    22000084     53.98    51.89         4500
               22000074      3.83     3.61       1/1175      1.09%    0.81
   21     1    21000073     50.23    48.35         4500
               21000083      3.79     3.57       1/1187      1.58%    0.81
   20     1    20000135     46.52    44.84         4500
               20000016      3.74     3.51       1/1205      1.86%    0.81
   19     1    19000083     42.86    41.39         4500
               19000083      3.67     3.45       1/1227      2.80%    0.81
   18     1    18000016     39.26    38.00         4500
               18000135      3.57     3.35       1/1262      3.06%    0.80
   17     1    17000083     35.76    34.70         4500
               17000073      3.45     3.25       1/1304      2.22%    0.79
   16     1    16000018     32.37    31.50         4500
               16000137      3.37     3.18       1/1335      2.31%    0.79
   15     1    15000083     29.06    28.37         4500
               15000073      3.29     3.10       1/1368      2.70%    0.79
   14     1    14000018     25.82    25.30         4500
               14000018      3.20     3.02       1/1408      3.13%    0.79
   13     1    13000073     22.68    22.32         4500
               13000083      3.09     2.93       1/1458      4.16%    0.79
   12     1    12000018     19.64    19.43         4500
               12000137      2.94     2.80       1/1528      4.99%    0.77
   11     1    11000098     16.74    16.65         4500
               11000015      2.78     2.67       1/1622      2.31%    0.76
   10     1    10000055     14.02    14.00         6300
               10000064      3.73     3.64       1/1690      6.17%    0.78
    9     1     9000010     10.49    10.40         6000
                9000148      3.31     3.26       1/1813      8.02%    0.76
    8     1     8000009      7.32     7.20         6000
                8000009      3.04     3.02       1/1976     15.55%    0.73
    7     1     7000012      4.30     4.20         6000
                7000012      2.61     2.57       1/2300     35.55%    0.65
    6     1     6000007      1.69     1.65         5950
                6000007      1.69     1.64       1/3513     99.98%    0.50
    5     1     5000587      0.03     0.02         6000
                5000587      0.03     0.02       1/9999      0.00%    0.00
    4     1     4000202      0.01     0.00         6800
                4000202      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000439      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000285      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000351      0.00     0.00         3600
                1000351      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/646  (53层1塔)

  === 工况15 === X- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
