   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     28        1        -50.54         -2.76       -105.61
     27        1        -31.18          1.81        -52.24
     26        1        -11.86          6.61          3.09
     25        1          8.01         11.22         59.07
     24        1         27.65         15.68        112.18
     23        1         46.40         19.95        165.84
     22        1         64.68         23.69        211.91
     21        1         80.70         27.28        258.33
     20        1         96.02         29.99        293.13
     19        1        107.90         32.57        328.10
     18        1        118.94         34.03        348.45
     17        1        125.68         35.40        368.83
     16        1        131.50         35.49        372.96
     15        1        132.56         35.53        377.07
     14        1        132.79         34.30        365.02
     13        1        128.34         33.08        353.34
     12        1        123.26         30.71        327.10
     11        1        113.90         28.39        301.52
     10        1        104.19         25.14        264.29
      9        1         91.04         22.00        228.39
      8        1         77.96         18.27        185.11
      7        1         62.69         14.73        144.47
      6        1         48.15         11.02        101.98
      5        1         33.14          7.67         64.58
      4        1         35.70          9.36         68.01
      3        1         15.54          6.37        -30.73
      2        1          5.79          2.42        -12.36
      1        1          2.41          0.99         -5.60

   振型   8 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          0.57          2.85         -7.01
     53        1          0.76          3.46         -9.31
     52        1         -1.13          5.49        -80.05
     51        1         -0.10          4.92       -138.00
     50        1          3.03         11.56       -225.89
     49        1          1.76          7.99       -182.06
     48        1          1.59          6.45       -146.29
     47        1          1.13          4.05       -110.47
     46        1          0.87          2.29        -73.29
     45        1          0.49          0.17        -36.51
     44        1          0.16         -1.70         -0.06
     43        1         -0.13         -3.39         35.01
     42        1         -0.49         -5.19         67.78
     41        1         -0.68         -6.34         98.08
     40        1         -1.03         -7.88        124.20
     39        1         -1.11         -8.38        146.85
     38        1         -1.42         -9.51        163.83
     37        1         -1.39         -9.33        176.61
     36        1         -2.08        -10.57        194.42
     35        1         -1.88         -9.84        197.63
     34        1         -2.08         -9.78        191.75
     33        1         -1.80         -8.62        184.60
     32        1         -1.88         -8.10        169.29
     31        1         -1.54         -6.65        153.25
     30        1         -1.50         -5.74        130.48
     29        1         -1.14         -4.13        107.17
     28        1         -0.99         -2.90         79.16
     27        1         -0.65         -1.27         50.91
     26        1         -0.40          0.16         20.62
     25        1         -0.11          1.65         -9.65
     24        1          0.21          3.18        -39.57
     23        1          0.44          4.43        -69.34
     22        1          0.82          5.94        -96.28
     21        1          0.96          6.86       -122.92
     20        1          1.36          8.22       -144.48
     19        1          1.41          8.74       -165.63
     18        1          1.81          9.85       -179.92
     17        1          1.76          9.93       -193.73
     16        1          2.11         10.71       -199.52
     15        1          1.98         10.35       -204.86
     14        1          2.26         10.74       -201.86
     13        1          2.05          9.99       -198.69
     12        1          2.24          9.98       -187.63
     11        1          1.97          8.92       -176.60
     10        1          2.05          8.53       -158.79
      9        1          1.73          7.26       -141.34
      8        1          1.70          6.54       -118.89
      7        1          1.36          5.19        -97.36
      6        1          1.21          4.25        -73.25
      5        1          0.87          2.97        -51.05
      4        1          1.06          2.54        -61.72
      3        1          0.50          2.95        -28.45
      2        1          0.18          1.11        -11.18
      1        1          0.08          0.44         -5.19

   振型   9 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          2.26        -18.86        -14.54
     53        1          3.91        -22.43        -18.20
     52        1          4.55        -38.23       -140.23
     51        1          9.76        -52.32       -240.45
     50        1         20.20        -58.15       -396.36
     49        1         16.06        -44.57       -313.40
     48        1         14.59        -32.45       -245.69
     47        1         11.97        -20.32       -178.68
     46        1          9.71         -8.35       -110.24
     45        1          6.70          3.03        -43.20
     44        1          3.74         14.07         22.23
     43        1          0.56         23.88         84.71
     42        1         -2.83         33.11        142.25
     41        1         -5.86         40.57        195.16
     40        1         -9.30         47.20        240.09
     39        1        -11.83         51.69        278.94
     38        1        -14.91         55.15        307.48
     37        1        -16.60         56.35        328.92
     36        1        -21.01         61.26        360.23
     35        1        -21.69         59.32        364.68
     34        1        -22.98         55.87        351.98
     33        1        -22.48         51.23        336.55
     32        1        -22.55         45.34        305.89
     31        1        -20.97         38.66        273.59
     30        1        -19.81         30.97        229.08
     29        1        -17.26         22.83        183.41
     28        1        -14.93         14.03        129.63
     27        1        -11.63          5.16         75.41
     26        1         -8.38         -3.90         18.24
     25        1         -4.67        -12.71        -38.82
     24        1         -0.76        -21.35        -94.23
     23        1          3.08        -29.45       -149.22
     22        1          7.31        -37.01       -197.91
     21        1         10.90        -43.77       -245.89
     20        1         15.06        -49.66       -283.54
     19        1         18.04        -54.55       -320.29
     18        1         21.70        -58.33       -343.65
     17        1         23.76        -60.99       -366.09
     16        1         26.54        -62.40       -373.36
     15        1         27.43        -62.67       -379.84
     14        1         29.03        -61.70       -370.98
     13        1         28.63        -59.69       -361.99
     12        1         28.90        -56.56       -338.82
     11        1         27.24        -52.54       -316.03
     10        1         26.14        -47.62       -281.43
      9        1         23.34        -42.03       -247.95
      8        1         20.99        -35.89       -206.18
      7        1         17.35        -29.40       -166.65
      6        1         14.08        -22.81       -123.45
      5        1         10.10        -16.35        -84.52
      4        1         11.64        -20.25       -100.63
      3        1          6.47        -18.69        -92.24
      2        1          2.54         -7.40        -38.18
      1        1          1.03         -2.97        -16.31

   振型  10 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1        -58.29         -9.74        -12.89
     53        1        -66.49         -8.64        -14.08
     52        1        -99.49         -4.92       -196.45
     51        1       -104.92         -6.08       -171.85
     50        1       -101.26          1.26       -165.70
     49        1        -57.33          4.14        -76.47
     48        1        -20.37          7.56          0.85
     47        1         15.37         10.22         73.61
     46        1         48.41         12.31        137.12
     45        1         76.18         13.85        192.72
     44        1        101.13         14.29        233.62
     43        1        117.17         14.42        263.48
     42        1        130.16         13.13        275.30
     41        1        132.17         11.80        274.47
     40        1        131.25          9.02        255.48
     39        1        119.45          6.43        224.49
     38        1        105.37          2.65        178.78
     37        1         82.77         -0.74        124.04
     36        1         63.94         -5.13         65.01
     35        1         34.90         -9.06         -5.46
     34        1          5.75        -12.92        -75.34
     33        1        -23.51        -16.35       -144.48
     32        1        -51.14        -19.03       -203.37
     31        1        -75.67        -21.38       -258.72
     30        1        -97.56        -22.46       -296.61
     29        1       -113.66        -23.27       -328.50
     28        1       -126.17        -22.46       -338.10
     27        1       -131.11        -21.46       -340.19
     26        1       -132.22        -18.81       -319.44
     25        1       -125.64        -16.11       -291.69
     24        1       -115.70        -11.99       -244.37
     23        1        -98.94         -7.90       -190.92
     22        1        -79.67         -2.85       -124.26
     21        1        -55.59          2.09        -53.51
     20        1        -30.31          7.35         21.65
     19        1         -3.04         12.42         98.14
     18        1         23.94         17.11        169.24
     17        1         49.78         21.56        238.70
     16        1         73.85         24.95        293.72
     15        1         93.84         28.09        344.42
     14        1        110.92         29.69        374.11
     13        1        121.96         31.09        398.20
     12        1        129.65         30.72        398.50
     11        1        130.31         30.18        392.80
     10        1        127.67         27.95        364.28
